Model,Scenario,Region,Item,Variable,Year
GCAM,BAU,CAN,RIC,POPT,2015
,BAU_DIET,USA,WHT,GDPT,2020
,BAU_PROD,BRA,CGR,XPRP,2025
,BAU_WAST,OSA,OSD,XPRX,2030
,BAU_MITI,FSU,SGC,AREA,2035
,BAU_NoCC,EUR,VFN,ARRF,2040
,EL2,MEN,VEG,ARIR,2045
,ELM,SSA,FRU,PROD,2050
,ELM_DIET,CHN,NUT,CONS,
,ELM_PROD,IND,PFB,FOOD,
,ELM_WAST,SEA,OCR,FEED,
,ELM_NoCC,OAS,RUM,OTHU,
,,ANZ,NRM,EXPO,
,,NAM,PRK,IMPO,
,,OAM,PTM,NETT,
,,AME,EGG,YEXO    ,
,,SAS,ONR,YILD,
,,WLD,DRY,YIRF,
,,,OAP,YIIR,
,,,FSH,YECC,
,,,FOR,CALO,
,,,CRP,CALI,
,,,OFD,FRTN,
,,,LSP,WATR    ,
,,,AGR,LAND,
,,,TOT,LYLD ,
,,,LAB,LYXO   ,
,,,CAP,FEEF,
,,,FRT,FEXO,
,,,OIL,FRUM,
,,,GRS,FNRM,
,,,ONV,FDRY,
,,,ECP,FFSH,
,,,NLD,EMIS,
,,,ENT,ECO2,
,,,MMG,ECH4,
,,,RCC,EN2O,
,,,SFR,CTAX,
,,,MAS,TPRD,
,,,MGR,TGHG,
,,,CRS,TCO2,
,,,ORS,TCH4,
,,,BSV,TN2O,
,,,BCR,,
,,,LAD,,
,,,LFS,,
,,,LOT,,
,,,CFT,,
,,,CMG,,
,,,RMG,,
,,,COT,,
,,,VFN|VEG,,
,,,VFN|FRU,,
,,,VFN|NUT,,
,,,VFN|LEG,,
,,,VFN|RTB,,
,,,NRM|PRK,,
,,,NRM|PTM,,
,,,NRM|EGG,,
,,,NRM|ONR,,
